z,symbol,charge,electron_count,state_source,source_table,state_role,physical_status,include_reason
91,Pa,3,88,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
92,U,0,92,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
92,U,1,91,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
92,U,2,90,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
92,U,3,89,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,v2_cation_charge_policy
93,Np,0,93,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
93,Np,1,92,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
93,Np,2,91,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
93,Np,3,90,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
94,Pu,0,94,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
94,Pu,1,93,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
94,Pu,2,92,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
94,Pu,3,91,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
95,Am,0,95,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
95,Am,1,94,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
95,Am,2,93,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
95,Am,3,92,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
96,Cm,0,96,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference,experimental_or_evaluated,neutral_reference_policy
96,Cm,1,95,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
96,Cm,2,94,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,reference_uncertain,experimental_or_evaluated,v2_cation_charge_policy
