state_id,symbol,z,charge,electron_count,multiplicity,state_category,state_role,overall_pass,scf_converged,electron_count_error_qa,electron_count_tolerance,electron_count_pass,max_rel_angular_sigma,max_rel_angular_sigma_tolerance,angular_sigma_pass,tail_reaches_min_cutoff,radii_monotonic,linear_dependency_warning_count,linear_dependency_vectors_removed
Tl_qm2_mult4_formal,Tl,81,-2,83,4,formal_anion_reference,formal_multianion,True,True,2.2311041902867146e-12,1.66e-05,True,2.307795825102624e-15,1e-08,True,True,True,1,1
Tl_qm1_mult3_ning2022,Tl,81,-1,82,3,ning2022_monoanion_reference,bound_experimental,True,True,2.2168933355715126e-12,1.64e-05,True,2.0686701540605737e-15,1e-08,True,True,True,1,1
Pb_qm2_mult3_formal,Pb,82,-2,84,3,formal_anion_reference,formal_multianion,True,True,2.2595258997171186e-12,1.68e-05,True,2.377267748383158e-15,1e-08,True,True,True,1,1
Pb_qm1_mult4_ning2022,Pb,82,-1,83,4,ning2022_monoanion_reference,bound_experimental,True,True,2.1600499167107046e-12,1.66e-05,True,1.6831372801600333e-15,1e-08,True,True,True,1,1
Bi_qm3_mult1_formal,Bi,83,-3,86,1,formal_anion_reference,formal_multianion,True,True,2.2737367544323206e-12,1.7199999999999998e-05,True,2.4930107310962987e-15,1e-08,True,True,True,1,1
Bi_qm2_mult2_formal,Bi,83,-2,85,2,formal_anion_reference,formal_multianion,True,True,2.2453150450019166e-12,1.7e-05,True,2.3880566360533745e-15,1e-08,True,True,True,1,1
Bi_qm1_mult3_ning2022,Bi,83,-1,84,3,ning2022_monoanion_reference,bound_experimental,True,True,2.2311041902867146e-12,1.68e-05,True,1.7255741014816748e-15,1e-08,True,True,True,1,1
Po_qm2_mult1_formal,Po,84,-2,86,1,formal_anion_reference,formal_multianion,True,True,2.2168933355715126e-12,1.7199999999999998e-05,True,2.5885589222349007e-15,1e-08,True,True,True,1,1
Po_qm1_mult2_formal,Po,84,-1,85,2,formal_anion_reference,formal_monoanion,True,True,2.2737367544323206e-12,1.7e-05,True,1.9312554488079824e-15,1e-08,True,True,True,1,1
At_qm1_mult1_ning2022,At,85,-1,86,1,ning2022_monoanion_reference,bound_experimental,True,True,2.2737367544323206e-12,1.7199999999999998e-05,True,1.7448419381642353e-15,1e-08,True,True,True,1,1
