comparison_id,comparison_kind,group_kind,group_value,metric,n,min,p50,p90,p95,p99,max
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,delta_rms_r_angstrom,63,2.96574734518138e-11,2.5166058056281668e-05,0.0003834751167779509,0.0005444310939203629,0.0017445048952264186,0.0025668519116749974
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,max_abs_quantile_radius_delta_angstrom,63,4.035781448462208e-11,0.00044154358765734257,0.003944783731771948,0.006923015757323719,0.013965814846694726,0.01784306578624646
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,max_abs_cutoff_radius_delta_angstrom,63,2.8787261455141295e-11,0.0003411715123384839,0.0031855480908766017,0.005800381456744782,0.010730119388953616,0.01343208422009548
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,delta_tail_electrons_gt_10_bohr,63,5.385742528086221e-17,2.3500125993780596e-06,3.726359851555368e-05,7.525389954943504e-05,0.0002832408066380024,0.0003632581536614221
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,delta_tail_electrons_gt_15_bohr,63,1.3283139483332397e-30,2.1101549726874658e-09,1.0943926709550918e-06,1.8197980248786831e-06,4.273338216617196e-06,4.653911316398942e-06
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_experimental,delta_tail_electrons_gt_20_bohr,63,8.593122064074799e-54,2.8733830598346073e-14,3.4817141097448494e-09,9.149565968504668e-09,2.1046045834883543e-08,2.2086344245251383e-08
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_provisional,relative_l1_delta,3,0.0005215852171439424,0.0005381450278706787,0.0005412801738563448,0.000541672067104553,0.0005419855817031196,0.0005420639603527613
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_provisional,l1_delta_electrons_trapz,3,0.03498072761618559,0.03631963593730139,0.03647378555471039,0.03649305425688651,0.03650846921862741,0.036512322959062635
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_provisional,max_abs_cumulative_delta_electrons,3,0.007860219437731075,0.008129537772596507,0.008292624267484427,0.008313010079345417,0.00832931872883421,0.008333395891206408
pbe0_sfx2c_x2cqzvpall_h-rn_spherical_v2__vs__pbe0_sfx2c_x2cqzvpalls_h-rn_anions_spherical_v2,optional_x2c_qzvpall_s_diagnostic,state_role,bound_provisional,mean_abs_radial_shift_angstrom,3,3.12627448191808e-05,3.430768667636155e-05,3.5483096404897505e-05,3.5630022620964505e-05,3.57475635938181e-05,3.57769488370315e-05
